"Location","nation","Country","gender","field_research","Country_work","PhD_Year","what_participant_group"
"British Columbia","Canada","Canada","Female","Social Science / Humanities","","",""
"Australia","Australia","Australia","Female","Engineering","","","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","Israel","Male","Medicine and Life Science","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","Canada","Male","Engineering","","","Senior academic researcher with >10 years of experience applying for research grants"
"British Columbia","Canada","Canada","Other","Natural Science","Barbados","1988","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"British Columbia","Canada","Canada","Female","Natural Science","Antarctica","2007","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"British Columbia","Canada","Canada","Male","Engineering","Canada","2016","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"Netherlands","Netherlands","Netherlands","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Netherlands","Canada","Netherlands","Female","Engineering","Canada","2013","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Netherlands","Russia","Netherlands","Male","Medicine and Life Science","Russia","2005","Senior academic researcher with >10 years of experience applying for research grants"
"Netherlands","Germany","Netherlands","Female","Social Science / Humanities","Germany","2005","Senior academic researcher with >10 years of experience applying for research grants"
"Netherlands","United Kingdom","Netherlands","Male","Physical Science (eg. math, physics, chemistry, computer science)","United Kingdom","2007","Senior academic researcher with >10 years of experience applying for research grants"
"Netherlands","Netherlands","Netherlands","Female","Social Science / Humanities","Netherlands","2004","Senior academic researcher with >10 years of experience applying for research grants"
"Netherlands","Canada","Netherlands","Female","Natural Science","Canada","2007","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Netherlands","Brazil","Netherlands","Male","Natural Science","Brazil","2003","Senior academic researcher with >10 years of experience applying for research grants"
"","Australia","","Female","Medicine and Life Science","Australia","2005","Senior academic researcher with >10 years of experience applying for research grants"
"South Africa","South Africa","South Africa","Male","Natural Science","South Africa","2003","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Denmark","Japan","Denmark","Male","Medicine and Life Science","Japan","2000","Senior academic researcher with >10 years of experience applying for research grants"
"Morocco","Morocco","Morocco","Female","Interdisciplinary Science","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Netherlands","United States","Netherlands","Female","Physical Science (eg. math, physics, chemistry, computer science)","United States","2015","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Netherlands","United Kingdom","Netherlands","Female","Social Science / Humanities","United Kingdom","2008","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Netherlands","Netherlands","Netherlands","Other","Social Science / Humanities","Netherlands","2001","Senior academic researcher with >10 years of experience applying for research grants"
"Netherlands","Netherlands","Netherlands","Female","Medicine and Life Science","Mauritius","2008","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Netherlands","Uruguay","Netherlands","Male","Other","Uruguay","2005","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Netherlands","Turkey","Netherlands","Male","Medicine and Life Science","Turkey","2006","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Netherlands","Australia","Netherlands","Male","Interdisciplinary Science","Australia","2011","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"United Kingdom","Taiwan","United Kingdom","Male","Interdisciplinary Science","Taiwan","2002","Senior academic researcher with >10 years of experience applying for research grants"
"California","United States","United States","Male","Physical Science (eg. math, physics, chemistry, computer science)","United States","1997","Senior academic researcher with >10 years of experience applying for research grants"
"Netherlands","Netherlands","Netherlands","Female","Engineering","Indonesia","2013","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"","Morocco","","Female","Engineering","Morocco","I did not complete a PhD","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Netherlands","Netherlands","Netherlands","Male","Social Science / Humanities","Netherlands","2009","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"France","South Africa","France","Male","Physical Science (eg. math, physics, chemistry, computer science)","South Africa","2002","Senior academic researcher with >10 years of experience applying for research grants"
"New Zealand","New Zealand","New Zealand","Male","Physical Science (eg. math, physics, chemistry, computer science)","New Zealand","1994","Senior academic researcher with >10 years of experience applying for research grants"
"","India","","Female","Natural Science","India","2008","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"France","France","France","Female","Interdisciplinary Science","France","1984","Senior academic researcher with >10 years of experience applying for research grants"
"","Bangladesh","","Female","Engineering","Bangladesh","2010","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Switzerland","Switzerland","Switzerland","Male","Social Science / Humanities","Switzerland","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Poland","Poland","Poland","Female","Social Science / Humanities","Poland","2006","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Turkey","Turkey","Turkey","Female","Social Science / Humanities","Turkey","","Senior academic researcher with >10 years of experience applying for research grants"
"Spain","South Africa","Spain","Male","Social Science / Humanities","South Africa","2014","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"","Ghana","","Male","Medicine and Life Science","Ghana","2009","Senior academic researcher with >10 years of experience applying for research grants"
"Norway","Germany","Norway","Male","Physical Science (eg. math, physics, chemistry, computer science)","Germany","2003","Senior academic researcher with >10 years of experience applying for research grants"
"South Africa","South Africa","South Africa","Female","Natural Science","South Africa","2007","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Portugal","Portugal","Portugal","Male","Physical Science (eg. math, physics, chemistry, computer science)","Portugal","1997","Senior academic researcher with >10 years of experience applying for research grants"
"Malaysia","Malaysia","Malaysia","Female","Medicine and Life Science","Malaysia","2006","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Illinois","United States","United States","Male","Engineering","United States","2010","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"","Australia","","Female","Social Science / Humanities","Australia","2011","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Netherlands","Netherlands","Netherlands","Male","Medicine and Life Science","Netherlands","2004","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"Netherlands","Netherlands","Netherlands","Male","Physical Science (eg. math, physics, chemistry, computer science)","Netherlands","2003","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","Italy","Italy","Male","Social Science / Humanities","Italy","2013","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Italy","Italy","Italy","Male","Social Science / Humanities","Italy","2002","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","Italy","Italy","Male","Natural Science","Italy","1993","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","Italy","Italy","Male","Physical Science (eg. math, physics, chemistry, computer science)","Italy","I did not complete a PhD","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","Italy","Italy","Female","Medicine and Life Science","Italy","I did not complete a PhD","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"United Kingdom","United Kingdom","United Kingdom","Female","Physical Science (eg. math, physics, chemistry, computer science)","United Kingdom","1999","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","Italy","Italy","Male","Social Science / Humanities","Italy","2006","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Italy","Italy","Italy","Male","Social Science / Humanities","Italy","","Senior academic researcher with >10 years of experience applying for research grants"
"Netherlands","Netherlands","Netherlands","Female","Natural Science","Netherlands","2011","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Italy","Italy","Italy","Male","Physical Science (eg. math, physics, chemistry, computer science)","Italy","2006","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Netherlands","Netherlands","Netherlands","Female","Natural Science","Netherlands","2015","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Italy","Italy","Italy","Male","Physical Science (eg. math, physics, chemistry, computer science)","Italy","2009","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Italy","Italy","Italy","Male","Social Science / Humanities","Italy","2006","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Italy","Italy","Italy","Male","Physical Science (eg. math, physics, chemistry, computer science)","Italy","2004","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"United Kingdom","United Kingdom","United Kingdom","Female","Social Science / Humanities","United Kingdom","2015","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Italy","Netherlands","Italy","Male","Interdisciplinary Science","Netherlands","2004","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"United Kingdom","United Kingdom","United Kingdom","Male","Physical Science (eg. math, physics, chemistry, computer science)","United Kingdom","2013","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Italy","Italy","Italy","Male","Physical Science (eg. math, physics, chemistry, computer science)","Italy","1999","Senior academic researcher with >10 years of experience applying for research grants"
"Netherlands","Netherlands","Netherlands","Male","Social Science / Humanities","Netherlands","2011","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Italy","Italy","Italy","Male","Physical Science (eg. math, physics, chemistry, computer science)","Italy","I did not complete a PhD","Senior academic researcher with >10 years of experience applying for research grants"
"Belgium","Belgium","Belgium","Female","Social Science / Humanities","Belgium","2008","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Belgium","Netherlands","Belgium","Male","Social Science / Humanities","Netherlands","1987","Senior academic researcher with >10 years of experience applying for research grants"
"Norway","Norway","Norway","Male","Physical Science (eg. math, physics, chemistry, computer science)","Norway","2004","Senior academic researcher with >10 years of experience applying for research grants"
"Germany","United States","Germany","Male","Social Science / Humanities","United States","1995","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","Italy","Italy","Male","Interdisciplinary Science","Italy","2002","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","Italy","Italy","Male","Medicine and Life Science","Italy","1992","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","Italy","Italy","Male","Physical Science (eg. math, physics, chemistry, computer science)","Italy","1998","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","Italy","Italy","Male","Medicine and Life Science","Italy","1997","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","Italy","Italy","Female","Physical Science (eg. math, physics, chemistry, computer science)","Italy","2006","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Italy","Italy","Italy","Male","Interdisciplinary Science","Italy","1989","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","Italy","Italy","Male","Engineering","Italy","1995","Senior academic researcher with >10 years of experience applying for research grants"
"Finland","Finland","Finland","Female","Engineering","Finland","2010","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"United Kingdom","United Kingdom","United Kingdom","Male","Social Science / Humanities","United Kingdom","2012","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Belgium","Belgium","Belgium","Male","Social Science / Humanities","Belgium","2013","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"United Kingdom","United Kingdom","United Kingdom","Female","Social Science / Humanities","United Kingdom","2016","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Italy","Italy","Italy","Male","Physical Science (eg. math, physics, chemistry, computer science)","Italy","1995","Senior academic researcher with >10 years of experience applying for research grants"
"Netherlands","Netherlands","Netherlands","Female","Medicine and Life Science","Netherlands","2008","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Netherlands","Netherlands","Netherlands","Male","Social Science / Humanities","","","Senior academic researcher with >10 years of experience applying for research grants"
"France","France","France","Male","Physical Science (eg. math, physics, chemistry, computer science)","France","2005","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","Italy","Italy","Female","Physical Science (eg. math, physics, chemistry, computer science)","Italy","2010","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Italy","Italy","Italy","Female","Social Science / Humanities","Italy","2004","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","Israel","Male","Social Science / Humanities","Israel","2002","Senior academic researcher with >10 years of experience applying for research grants"
"Argentina","France","Argentina","Male","Physical Science (eg. math, physics, chemistry, computer science)","France","2015","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Italy","Italy","Italy","Male","Physical Science (eg. math, physics, chemistry, computer science)","Italy","2002","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","United Kingdom","Male","Physical Science (eg. math, physics, chemistry, computer science)","United Kingdom","2004","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Quebec","Canada","Canada","Female","Social Science / Humanities","Canada","2012","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Italy","Italy","Italy","Male","Physical Science (eg. math, physics, chemistry, computer science)","Italy","1993","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","Italy","Italy","Male","Social Science / Humanities","Italy","2004","Senior academic researcher with >10 years of experience applying for research grants"
"Greece","Greece","Greece","Female","Social Science / Humanities","Greece","1995","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","Netherlands","Italy","Male","Social Science / Humanities","Netherlands","2009","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Germany","Germany","Germany","Male","Social Science / Humanities","Germany","1996","Senior academic researcher with >10 years of experience applying for research grants"
"Cyprus","Cyprus","Cyprus","Female","Social Science / Humanities","Cyprus","1999","Senior academic researcher with >10 years of experience applying for research grants"
"Hungary","Hungary","Hungary","Female","Social Science / Humanities","Hungary","2012","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Vietnam","Vietnam","Vietnam","Male","Physical Science (eg. math, physics, chemistry, computer science)","Vietnam","2004","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Japan","Japan","Japan","Male","Engineering","Japan","2004","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","United Kingdom","Female","Social Science / Humanities","United Kingdom","2013","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Italy","Italy","Italy","Male","Interdisciplinary Science","Italy","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"France","France","France","Female","Social Science / Humanities","France","2009","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Italy","Italy","Italy","Female","Physical Science (eg. math, physics, chemistry, computer science)","Italy","2009","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Norway","Norway","Norway","Female","Social Science / Humanities","Norway","1994","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","Italy","Italy","Female","Social Science / Humanities","Italy","2003","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Alberta","Canada","Canada","Female","Social Science / Humanities","Canada","1976","Senior academic researcher with >10 years of experience applying for research grants"
"Netherlands","Netherlands","Netherlands","Male","Social Science / Humanities","Netherlands","1997","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","Italy","Italy","Male","Engineering","Italy","1999","Senior academic researcher with >10 years of experience applying for research grants"
"Spain","Spain","Spain","Female","Social Science / Humanities","Spain","2010","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Switzerland","Italy","Switzerland","Male","Physical Science (eg. math, physics, chemistry, computer science)","Italy","I did not complete a PhD",""
"Finland","Spain","Finland","Male","Social Science / Humanities","Spain","2014","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Spain","Canada","Spain","Male","Interdisciplinary Science","Canada","2003","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","Italy","Italy","Male","Medicine and Life Science","Italy","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"United Kingdom","Italy","United Kingdom","Male","Physical Science (eg. math, physics, chemistry, computer science)","Italy","2012","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Massachusetts","United States","United States","Female","Medicine and Life Science","United States","2006","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"India","India","India","Male","Medicine and Life Science","India","2009","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Netherlands","Netherlands","Netherlands","Male","Social Science / Humanities","Netherlands","2012","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Italy","Italy","Italy","Male","Physical Science (eg. math, physics, chemistry, computer science)","Italy","2005","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Japan","Japan","Japan","Male","Medicine and Life Science","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Italy","Italy","Italy","Male","Social Science / Humanities","Italy","2006","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"France","France","France","Male","Social Science / Humanities","France","2013","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"France","France","France","Female","Physical Science (eg. math, physics, chemistry, computer science)","France","2007","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"","Nigeria","","Male","Natural Science","Nigeria","2010","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Netherlands","Netherlands","Netherlands","Male","Natural Science","Netherlands","2003","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","Italy","Italy","Female","Medicine and Life Science","Italy","1991","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","Israel","Male","Physical Science (eg. math, physics, chemistry, computer science)","Israel","2005","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","Israel","Female","Natural Science","Israel","2001","Senior academic researcher with >10 years of experience applying for research grants"
"California","United States","United States","Male","Physical Science (eg. math, physics, chemistry, computer science)","United States","2006","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","Italy","Italy","Female","Social Science / Humanities","Italy","2001","Senior academic researcher with >10 years of experience applying for research grants"
"Egypt","Egypt","Egypt","Male","Medicine and Life Science","Egypt","2007","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","Italy","Italy","Female","Medicine and Life Science","Italy","1996","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","Israel","Female","Social Science / Humanities","Israel","2007","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Italy","Italy","Italy","Female","Medicine and Life Science","Italy","2006","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"United Kingdom","Canada","United Kingdom","Female","Social Science / Humanities","Canada","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Netherlands","Netherlands","Netherlands","Female","Social Science / Humanities","Netherlands","2011","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Malaysia","Malaysia","Malaysia","Male","Engineering","Malaysia","2002","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","Israel","Male","Medicine and Life Science","Israel","2006","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","Israel","Male","Physical Science (eg. math, physics, chemistry, computer science)","Israel","2005","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Spain","Spain","Spain","Male","Social Science / Humanities","Spain","2007","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","Israel","Female","Physical Science (eg. math, physics, chemistry, computer science)","Israel","2003","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","United Kingdom","Male","Medicine and Life Science","United Kingdom","1995","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","United Kingdom","Female","Medicine and Life Science","United Kingdom","2015","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"","Australia","","Female","Medicine and Life Science","Australia","2001","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","Canada","Female","Social Science / Humanities","Canada","2007","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","Australia","Male","Medicine and Life Science","Australia","1968","Senior academic researcher with >10 years of experience applying for research grants"
"Illinois","Italy","United States","Male","Engineering","Italy","1999","Senior academic researcher with >10 years of experience applying for research grants"
"Alberta","Canada","Canada","Male","Natural Science","Canada","2012","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Portugal","Portugal","Portugal","Male","Social Science / Humanities","Portugal","2010","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Italy","Portugal","Italy","Male","Medicine and Life Science","Portugal","2013","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"United Kingdom","United Kingdom","United Kingdom","Male","Physical Science (eg. math, physics, chemistry, computer science)","United Kingdom","1999","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","Israel","Israel","Female","Social Science / Humanities","Israel","1999","Senior academic researcher with >10 years of experience applying for research grants"
"California","United States","United States","Male","Social Science / Humanities","United States","2014","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Netherlands","Netherlands","Netherlands","Male","Medicine and Life Science","Netherlands","1998","Senior academic researcher with >10 years of experience applying for research grants"
"Italy","Italy","Italy","Male","Physical Science (eg. math, physics, chemistry, computer science)","Italy","2005","Senior academic researcher with >10 years of experience applying for research grants"
"Arizona","United States","United States","Female","Medicine and Life Science","United States","2003","Senior academic researcher with >10 years of experience applying for research grants"
"Wisconsin","United States","United States","Female","Social Science / Humanities","United States","2016","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Portugal","Spain","Portugal","Male","Social Science / Humanities","Spain","1978","Senior academic researcher with >10 years of experience applying for research grants"
"Belgium","Belgium","Belgium","Male","Social Science / Humanities","Belgium","2012","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"California","United States","United States","Female","Medicine and Life Science","United States","2009","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Netherlands","United States","Netherlands","Male","Medicine and Life Science","United States","1997","Senior academic researcher with >10 years of experience applying for research grants"
"","United States","","Female","Natural Science","United States","1981","Senior academic researcher with >10 years of experience applying for research grants"
"Montenegro","Montenegro","Montenegro","Male","Medicine and Life Science","Montenegro","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"Nevada","United States","United States","Male","Social Science / Humanities","United States","2008","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","Australia","Male","Natural Science","Australia","2010","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","Australia","Male","Medicine and Life Science","Australia","1979","Senior academic researcher with >10 years of experience applying for research grants"
"Illinois","United States","United States","Male","Social Science / Humanities","United States","2015","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"New York","United States","United States","Male","Medicine and Life Science","United States","1977","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Female","Interdisciplinary Science","Australia","1998","Senior academic researcher with >10 years of experience applying for research grants"
"China","China","China","Male","Interdisciplinary Science","China","2009","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","Israel","Male","Social Science / Humanities","Israel","1996","Senior academic researcher with >10 years of experience applying for research grants"
"","United States","","Male","Natural Science","United States","1999","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Female","Social Science / Humanities","Australia","2015","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Australia","Australia","Australia","Male","Medicine and Life Science","Australia","2008","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","Australia","Male","Natural Science","Australia","1972","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Male","Interdisciplinary Science","Australia","2015","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","Australia","Male","Natural Science","Australia","2015","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"","Australia","","Female","Natural Science","Australia","2001","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"United Kingdom","United Kingdom","United Kingdom","Male","Medicine and Life Science","United Kingdom","2002","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Singapore","Singapore","Singapore","Male","Medicine and Life Science","Singapore","2008","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Italy","Germany","Italy","Female","Interdisciplinary Science","Germany","I did not complete a PhD","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"Italy","Italy","Italy","Male","Medicine and Life Science","Italy","2003","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","United Kingdom","Male","Interdisciplinary Science","United Kingdom","1981","Senior academic researcher with >10 years of experience applying for research grants"
"New Zealand","New Zealand","New Zealand","Male","Natural Science","New Zealand","2011","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","Israel","Female","Medicine and Life Science","Israel","2003","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"United Kingdom","United Kingdom","United Kingdom","Male","Medicine and Life Science","United Kingdom","2001","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Korea","Korea, South","Korea","Male","Social Science / Humanities","Korea, South","2006","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Ontario","Canada","Canada","Male","Interdisciplinary Science","Canada","2001","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","United Kingdom","Female","Natural Science","United Kingdom","1992","Senior academic researcher with >10 years of experience applying for research grants"
"France","France","France","Male","Medicine and Life Science","France","2000","Senior academic researcher with >10 years of experience applying for research grants"
"Poland","Poland","Poland","Male","Natural Science","Poland","1999","Senior academic researcher with >10 years of experience applying for research grants"
"Poland","Poland","Poland","Female","Medicine and Life Science","Poland","2007","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Poland","Poland","Poland","Male","Engineering","Poland","2008","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"Oregon","United States","United States","Female","Medicine and Life Science","United States","2004","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Male","Social Science / Humanities","Australia","1994","Senior academic researcher with >10 years of experience applying for research grants"
"Israel","United States","Israel","Male","Interdisciplinary Science","United States","2006","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"Netherlands","Netherlands","Netherlands","Female","Social Science / Humanities","Netherlands","2001","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Female","Medicine and Life Science","Australia","1996","Senior academic researcher with >10 years of experience applying for research grants"
"Poland","Poland","Poland","Male","Interdisciplinary Science","Poland","2001","Senior academic researcher with >10 years of experience applying for research grants"
"Poland","Poland","Poland","Male","Natural Science","Poland","2004","Senior academic researcher with >10 years of experience applying for research grants"
"Serbia","Serbia","Serbia","Female","Social Science / Humanities","","I did not complete a PhD","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Poland","Poland","Poland","Female","Medicine and Life Science","Poland","2008","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Poland","Poland","Poland","Male","Engineering","Poland","2009","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Poland","Poland","Poland","Male","Engineering","Poland","2007","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Poland","Poland","Poland","Male","Engineering","Poland","2011","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Belgium","Poland","Belgium","Male","Social Science / Humanities","Poland","2008","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Poland","Poland","Poland","Female","Engineering","Poland","2012","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Serbia","Serbia","Serbia","Female","Medicine and Life Science","Serbia","2008","Senior academic researcher with >10 years of experience applying for research grants"
